,S,D,Optimal Moves
4,0,16,71.0
6,0,18,271.0
13,0,35,338.0
14,0,36,109.0
16,0,38,1.0
18,0,40,204.0
19,0,44,17.0
32,1,17,94.0
35,1,20,17.0
37,1,29,31.0
58,3,16,107.0
81,5,2,192.0
131,6,52,587.0
141,8,18,87.0
162,9,2,49.0
185,9,52,147.0
190,10,4,39.0
206,10,39,16.0
231,11,37,146.0
240,11,53,89.0
243,12,2,247.0
251,12,20,88.0
268,12,57,11.0
277,13,19,348.0
303,15,18,44.0
337,21,35,138.0
347,21,52,587.0
366,22,37,109.0
384,23,18,48.0
410,24,17,21.0
436,25,16,37.0
466,26,19,23.0
481,26,51,144.0
498,27,33,126.0
507,27,50,91.0
515,30,7,21.0
516,30,14,666.0
528,30,37,214.0
536,30,52,46.0
543,31,14,65.0
560,31,46,16.0
577,34,29,142.0
598,41,16,15.0
639,42,40,11.0
653,43,17,134.0
680,45,17,18.0
701,45,60,5.0
713,47,32,150.0
720,47,40,322.0
752,48,52,91.0
774,49,40,43.0
788,54,17,140.0
825,55,37,112.0
849,56,33,72.0
872,58,20,50.0
902,59,32,11.0
923,61,17,58.0
953,62,20,367.0
954,62,28,63.0
966,62,50,65.0
967,62,51,92.0
